PWM Percentage ,Voltage ,,PWM  percentage, Encoder Value ,Speed  M/S,,,Without Load 60 percent PWM,,,Without Load 60 PWM,,,Without Load 60 PWM,,,Withload 60 PWM,,,With Load 60 PWM ,,,With Load PWM 60,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM ,,,Withload 30 PWM 
,,,29,431,0.263,,,20:30:02.493 -> 832,,,20:35:04.299 -> 701,,,20:37:01.043 -> 707,,,20:46:17.305 -> 642,,,20:55:14.587 -> 625,,,20:56:12.812 -> 628,,,20:59:07.346 -> 288,,,21:00:13.770 -> 304,,,21:01:06.859 -> 289,,,21:02:47.239 -> 299,,,21:03:57.485 -> 290
,,,28,418,0.255,,,20:30:02.493 -> 843,,,20:35:04.299 -> 712,,,20:37:01.083 -> 718,,,20:46:17.305 -> 653,,,20:55:14.587 -> 635,,,20:56:12.812 -> 638,,,20:59:07.346 -> 293,,,21:00:13.820 -> 308,,,21:01:06.859 -> 294,,,21:02:47.239 -> 304,,,21:03:57.485 -> 295
,,,27,402,0.245,,,20:30:02.493 -> 854,,,20:35:04.343 -> 722,,,20:37:01.083 -> 729,,,20:46:17.353 -> 663,,,20:55:14.587 -> 646,,,20:56:12.812 -> 647,,,20:59:07.346 -> 297,,,21:00:13.820 -> 313,,,21:01:06.859 -> 298,,,21:02:47.239 -> 309,,,21:03:57.485 -> 299
,,,26,391,0.238,,,20:30:02.493 -> 864,,,20:35:04.343 -> 733,,,20:37:01.083 -> 740,,,20:46:17.353 -> 674,,,20:55:14.587 -> 656,,,20:56:12.812 -> 657,,,20:59:07.395 -> 301,,,21:00:13.820 -> 318,,,21:01:06.903 -> 303,,,21:02:47.239 -> 313,,,21:03:57.485 -> 304
,,,25,370,0.225,,,20:30:02.527 -> 876,,,20:35:04.343 -> 745,,,20:37:01.083 -> 751,,,20:46:17.353 -> 684,,,20:55:14.635 -> 665,,,20:56:12.812 -> 669,,,20:59:07.395 -> 306,,,21:00:13.820 -> 322,,,21:01:06.903 -> 308,,,21:02:47.283 -> 318,,,21:03:57.533 -> 308
,,,24,362,0.22,,,20:30:02.527 -> 887,,,20:35:04.343 -> 755,,,20:37:01.131 -> 761,,,20:46:17.353 -> 695,,,20:55:14.635 -> 675,,,20:56:12.860 -> 680,,,20:59:07.395 -> 310,,,21:00:13.820 -> 327,,,21:01:06.903 -> 312,,,21:02:47.283 -> 323,,,21:03:57.533 -> 313
,,,23,345,0.21,,,20:30:02.527 -> 897,,,20:35:04.343 -> 766,,,20:37:01.131 -> 772,,,20:46:17.353 -> 705,,,20:55:14.635 -> 685,,,20:56:12.860 -> 690,,,20:59:07.395 -> 315,,,21:00:13.868 -> 331,,,21:01:06.903 -> 316,,,21:02:47.283 -> 328,,,21:03:57.533 -> 318
,,,22,334,0.203,,,20:30:02.575 -> 908,,,20:35:04.387 -> 776,,,20:37:01.131 -> 783,,,20:46:17.402 -> 716,,,20:55:14.635 -> 695,,,20:56:12.860 -> 701,,,20:59:07.395 -> 319,,,21:00:13.868 -> 336,,,21:01:06.903 -> 321,,,21:02:47.283 -> 332,,,21:03:57.533 -> 322
,,,21,317,0.193,,,20:30:02.575 -> 919,,,20:35:04.387 -> 787,,,20:37:01.131 -> 794,,,20:46:17.402 -> 726,,,20:55:14.635 -> 705,,,20:56:12.860 -> 710,,,20:59:07.443 -> 324,,,21:00:13.868 -> 341,,,21:01:06.948 -> 325,,,21:02:47.332 -> 337,,,21:03:57.533 -> 327
,,,20,304,0.185,,,20:30:02.575 -> 931,,,20:35:04.387 -> 798,,,20:37:01.131 -> 805,,,20:46:17.402 -> 737,,,20:55:14.683 -> 715,,,20:56:12.860 -> 721,,,20:59:07.443 -> 328,,,21:00:13.868 -> 346,,,21:01:06.948 -> 330,,,21:02:47.332 -> 341,,,21:03:57.582 -> 331
,,,19,287,0.175,,,20:30:02.575 -> 941,,,20:35:04.387 -> 808,,,20:37:01.164 -> 816,,,20:46:17.402 -> 747,,,20:55:14.683 -> 725,,,20:56:12.903 -> 731,,,20:59:07.443 -> 332,,,21:00:13.868 -> 350,,,21:01:06.948 -> 334,,,21:02:47.332 -> 346,,,21:03:57.582 -> 336
,,,18,269,0.164,,,20:30:02.575 -> 952,,,20:35:04.431 -> 819,,,20:37:01.164 -> 827,,,20:46:17.402 -> 758,,,20:55:14.683 -> 734,,,20:56:12.903 -> 741,,,20:59:07.443 -> 337,,,21:00:13.917 -> 355,,,21:01:06.948 -> 339,,,21:02:47.332 -> 351,,,21:03:57.582 -> 340
,,,17,257,0.156,,,20:30:02.619 -> 963,,,20:35:04.431 -> 830,,,20:37:01.164 -> 838,,,20:46:17.446 -> 768,,,20:55:14.683 -> 744,,,20:56:12.903 -> 750,,,20:59:07.443 -> 341,,,21:00:13.917 -> 360,,,21:01:06.996 -> 343,,,21:02:47.332 -> 355,,,21:03:57.582 -> 344
,,,16,246,0.15,,,20:30:02.619 -> 975,,,20:35:04.431 -> 840,,,20:37:01.212 -> 849,,,20:46:17.446 -> 779,,,20:55:14.727 -> 754,,,20:56:12.903 -> 760,,,20:59:07.486 -> 346,,,21:00:13.917 -> 364,,,21:01:06.996 -> 348,,,21:02:47.381 -> 360,,,21:03:57.627 -> 349
,,,15,246,0.15,,,20:30:02.619 -> 985,,,20:35:04.431 -> 851,,,20:37:01.212 -> 860,,,20:46:17.446 -> 790,,,20:55:14.727 -> 764,,,20:56:12.951 -> 770,,,20:59:07.486 -> 350,,,21:00:13.917 -> 369,,,21:01:06.996 -> 353,,,21:02:47.381 -> 365,,,21:03:57.627 -> 353
,,,14,214,0.13,,,20:30:02.619 -> 996,,,20:35:04.431 -> 862,,,20:37:01.212 -> 871,,,20:46:17.446 -> 800,,,20:55:14.727 -> 774,,,20:56:12.951 -> 779,,,20:59:07.486 -> 355,,,21:00:13.961 -> 373,,,21:01:06.996 -> 357,,,21:02:47.381 -> 370,,,21:03:57.627 -> 357
,,,13,196,0.119,,,20:30:02.663 -> 1008,,,20:35:04.479 -> 873,,,20:37:01.212 -> 882,,,20:46:17.491 -> 811,,,20:55:14.727 -> 783,,,20:56:12.951 -> 789,,,20:59:07.486 -> 359,,,21:00:13.961 -> 378,,,21:01:06.996 -> 362,,,21:02:47.381 -> 374,,,21:03:57.627 -> 362
,,,12,177,0.108,,,20:30:02.663 -> 1019,,,20:35:04.479 -> 884,,,20:37:01.212 -> 893,,,20:46:17.491 -> 821,,,20:55:14.727 -> 793,,,20:56:12.951 -> 799,,,20:59:07.534 -> 364,,,21:00:13.961 -> 383,,,21:01:07.041 -> 366,,,21:02:47.381 -> 379,,,21:03:57.627 -> 366
,,,11,164,0.1,,,20:30:02.663 -> 1031,,,20:35:04.479 -> 894,,,20:37:01.260 -> 904,,,20:46:17.491 -> 832,,,20:55:14.783 -> 803,,,20:56:12.951 -> 809,,,20:59:07.534 -> 368,,,21:00:13.961 -> 387,,,21:01:07.041 -> 371,,,21:02:47.429 -> 383,,,21:03:57.675 -> 370
,,,10,144,0.087,,,20:30:02.663 -> 1041,,,20:35:04.479 -> 905,,,20:37:01.260 -> 915,,,20:46:17.491 -> 842,,,20:55:14.783 -> 813,,,20:56:12.995 -> 819,,,20:59:07.534 -> 372,,,21:00:13.961 -> 392,,,21:01:07.041 -> 375,,,21:02:47.429 -> 388,,,21:03:57.675 -> 375
,,,9,124,0.075,,,20:30:02.663 -> 1054,,,20:35:04.479 -> 915,,,20:37:01.260 -> 926,,,20:46:17.491 -> 853,,,20:55:14.783 -> 822,,,20:56:12.995 -> 829,,,20:59:07.534 -> 377,,,21:00:14.005 -> 396,,,21:01:07.041 -> 379,,,21:02:47.429 -> 393,,,21:03:57.675 -> 379
,,,8,109,0.066,,,20:30:02.711 -> 1065,,,20:35:04.527 -> 926,,,20:37:01.260 -> 936,,,20:46:17.536 -> 863,,,20:55:14.783 -> 832,,,20:56:12.995 -> 839,,,20:59:07.534 -> 381,,,21:00:14.005 -> 401,,,21:01:07.085 -> 384,,,21:02:47.429 -> 397,,,21:03:57.675 -> 384
,,,7,88,0.053,,,20:30:02.711 -> 1076,,,20:35:04.527 -> 937,,,20:37:01.260 -> 948,,,20:46:17.536 -> 874,,,20:55:14.783 -> 842,,,20:56:12.995 -> 849,,,20:59:07.578 -> 386,,,21:00:14.005 -> 406,,,21:01:07.085 -> 388,,,21:02:47.429 -> 402,,,21:03:57.675 -> 388
,,,6,73,0.044,,,20:30:02.711 -> 1086,,,20:35:04.527 -> 947,,,20:37:01.304 -> 959,,,20:46:17.536 -> 884,,,20:55:14.820 -> 852,,,20:56:13.029 -> 858,,,20:59:07.578 -> 390,,,21:00:14.005 -> 410,,,21:01:07.085 -> 393,,,21:02:47.477 -> 407,,,21:03:57.723 -> 392
,,,5,52,0.031,,,20:30:02.711 -> 1097,,,20:35:04.527 -> 958,,,20:37:01.304 -> 970,,,20:46:17.536 -> 895,,,20:55:14.820 -> 862,,,20:56:13.029 -> 868,,,20:59:07.578 -> 395,,,21:00:14.049 -> 415,,,21:01:07.085 -> 397,,,21:02:47.477 -> 411,,,21:03:57.723 -> 397
,,,4,36,0.021,,,20:30:02.711 -> 1108,,,20:35:04.571 -> 969,,,20:37:01.304 -> 981,,,20:46:17.584 -> 905,,,20:55:14.820 -> 872,,,20:56:13.029 -> 879,,,20:59:07.578 -> 399,,,21:00:14.049 -> 419,,,21:01:07.085 -> 402,,,21:02:47.477 -> 416,,,21:03:57.723 -> 401
,,,3,3,0.0018,,,20:30:02.759 -> 1120,,,20:35:04.571 -> 979,,,20:37:01.304 -> 992,,,20:46:17.584 -> 916,,,20:55:14.820 -> 881,,,20:56:13.029 -> 889,,,20:59:07.578 -> 404,,,21:00:14.049 -> 424,,,21:01:07.129 -> 406,,,21:02:47.477 -> 420,,,21:03:57.723 -> 406
,,,2,0,0,,,20:30:02.759 -> 1132,,,20:35:04.571 -> 990,,,20:37:01.352 -> 1003,,,20:46:17.584 -> 927,,,20:55:14.863 -> 891,,,20:56:13.073 -> 899,,,20:59:07.626 -> 408,,,21:00:14.049 -> 428,,,21:01:07.129 -> 411,,,21:02:47.477 -> 425,,,21:03:57.723 -> 410
,,,1,0,0,,,20:30:02.759 -> 1142,,,20:35:04.571 -> 1000,,,20:37:01.352 -> 1013,,,20:46:17.584 -> 937,,,20:55:14.863 -> 901,,,20:56:13.073 -> 908,,,20:59:07.626 -> 412,,,21:00:14.049 -> 433,,,21:01:07.129 -> 415,,,21:02:47.526 -> 430,,,21:03:57.771 -> 414
,,,,,,,,20:30:02.759 -> 1153,,,20:35:04.571 -> 1011,,,20:37:01.352 -> 1024,,,20:46:17.584 -> 948,,,20:55:14.863 -> 911,,,20:56:13.073 -> 918,,,20:59:07.626 -> 417,,,21:00:14.097 -> 437,,,21:01:07.129 -> 420,,,21:02:47.526 -> 434,,,21:03:57.771 -> 419
,,,,,,,,20:30:02.759 -> 1164,,,20:35:04.615 -> 1022,,,20:37:01.352 -> 1035,,,20:46:17.628 -> 959,,,20:55:14.863 -> 920,,,20:56:13.073 -> 928,,,20:59:07.626 -> 421,,,21:00:14.097 -> 442,,,21:01:07.177 -> 425,,,21:02:47.526 -> 439,,,21:03:57.771 -> 423
,,,,,,,,20:30:02.803 -> 1175,,,20:35:04.615 -> 1032,,,20:37:01.352 -> 1046,,,20:46:17.628 -> 969,,,20:55:14.863 -> 930,,,20:56:13.117 -> 938,,,20:59:07.670 -> 426,,,21:00:14.097 -> 446,,,21:01:07.177 -> 430,,,21:02:47.526 -> 444,,,21:03:57.771 -> 428
,,,,,,,,20:30:02.803 -> 1185,,,20:35:04.615 -> 1043,,,20:37:01.400 -> 1057,,,20:46:17.628 -> 980,,,20:55:14.912 -> 940,,,20:56:13.117 -> 948,,,20:59:07.670 -> 431,,,21:00:14.097 -> 451,,,21:01:07.177 -> 434,,,21:02:47.570 -> 448,,,21:03:57.771 -> 432
,,,,,,,,20:30:02.803 -> 1196,,,20:35:04.615 -> 1054,,,20:37:01.400 -> 1068,,,20:46:17.628 -> 990,,,20:55:14.912 -> 950,,,20:56:13.117 -> 959,,,20:59:07.670 -> 435,,,21:00:14.097 -> 455,,,21:01:07.177 -> 439,,,21:02:47.570 -> 453,,,21:03:57.815 -> 437
,,,,,,,,20:30:02.803 -> 1207,,,20:35:04.659 -> 1064,,,20:37:01.400 -> 1078,,,20:46:17.672 -> 1001,,,20:55:14.912 -> 960,,,20:56:13.117 -> 968,,,20:59:07.670 -> 439,,,21:00:14.141 -> 459,,,21:01:07.177 -> 444,,,21:02:47.570 -> 457,,,21:03:57.815 -> 441
,,,,,,,,20:30:02.847 -> 1218,,,20:35:04.659 -> 1075,,,20:37:01.400 -> 1089,,,20:46:17.672 -> 1011,,,20:55:14.912 -> 970,,,20:56:13.161 -> 978,,,20:59:07.670 -> 444,,,21:00:14.141 -> 464,,,21:01:07.226 -> 448,,,21:02:47.570 -> 462,,,21:03:57.815 -> 446
,,,,,,,,20:30:02.847 -> 1228,,,20:35:04.659 -> 1086,,,20:37:01.400 -> 1100,,,20:46:17.672 -> 1022,,,20:55:14.955 -> 980,,,20:56:13.161 -> 988,,,20:59:07.719 -> 448,,,21:00:14.141 -> 468,,,21:01:07.226 -> 453,,,21:02:47.570 -> 467,,,21:03:57.815 -> 450
,,,,,,,,20:30:02.847 -> 1239,,,20:35:04.659 -> 1096,,,20:37:01.445 -> 1111,,,20:46:17.672 -> 1032,,,20:55:14.955 -> 989,,,20:56:13.161 -> 998,,,20:59:07.719 -> 453,,,21:00:14.141 -> 473,,,21:01:07.226 -> 458,,,21:02:47.614 -> 471,,,21:03:57.864 -> 455
,,,,,,,,20:30:02.847 -> 1250,,,20:35:04.659 -> 1107,,,20:37:01.445 -> 1122,,,20:46:17.672 -> 1043,,,20:55:14.955 -> 999,,,20:56:13.161 -> 1008,,,20:59:07.719 -> 457,,,21:00:14.185 -> 477,,,21:01:07.226 -> 462,,,21:02:47.614 -> 476,,,21:03:57.864 -> 459
,,,,,,,,20:30:02.887 -> 1261,,,20:35:04.700 -> 1118,,,20:37:01.445 -> 1133,,,20:46:17.720 -> 1054,,,20:55:14.955 -> 1009,,,20:56:13.161 -> 1017,,,20:59:07.719 -> 461,,,21:00:14.185 -> 482,,,21:01:07.226 -> 467,,,21:02:47.614 -> 480,,,21:03:57.864 -> 463
,,,,,,,,20:30:02.887 -> 1271,,,20:35:04.700 -> 1128,,,20:37:01.445 -> 1144,,,20:46:17.720 -> 1064,,,20:55:14.955 -> 1019,,,20:56:13.210 -> 1027,,,20:59:07.719 -> 466,,,21:00:14.185 -> 486,,,21:01:07.270 -> 472,,,21:02:47.614 -> 485,,,21:03:57.864 -> 468
,,,,,,,,20:30:02.887 -> 1282,,,20:35:04.700 -> 1139,,,20:37:01.489 -> 1154,,,20:46:17.720 -> 1075,,,20:55:15.000 -> 1028,,,20:56:13.210 -> 1037,,,20:59:07.767 -> 470,,,21:00:14.185 -> 491,,,21:01:07.270 -> 476,,,21:02:47.662 -> 489,,,21:03:57.864 -> 472
,,,,,,,,20:30:02.887 -> 1293,,,20:35:04.700 -> 1150,,,20:37:01.489 -> 1165,,,20:46:17.720 -> 1085,,,20:55:15.000 -> 1038,,,20:56:13.210 -> 1047,,,20:59:07.767 -> 475,,,21:00:14.234 -> 495,,,21:01:07.270 -> 481,,,21:02:47.662 -> 494,,,21:03:57.912 -> 477
,,,,,,,,20:30:02.936 -> 1303,,,20:35:04.740 -> 1160,,,20:37:01.489 -> 1176,,,20:46:17.720 -> 1096,,,20:55:15.000 -> 1048,,,20:56:13.210 -> 1056,,,20:59:07.767 -> 479,,,21:00:14.234 -> 500,,,21:01:07.270 -> 486,,,21:02:47.662 -> 499,,,21:03:57.912 -> 481
,,,,,,,,20:30:02.936 -> 1316,,,20:35:04.740 -> 1171,,,20:37:01.489 -> 1187,,,20:46:17.768 -> 1106,,,20:55:15.000 -> 1058,,,20:56:13.210 -> 1066,,,20:59:07.767 -> 484,,,21:00:14.234 -> 504,,,21:01:07.270 -> 490,,,21:02:47.662 -> 503,,,21:03:57.912 -> 486
,,,,,,,,20:30:02.936 -> 1326,,,20:35:04.740 -> 1181,,,20:37:01.489 -> 1198,,,20:46:17.768 -> 1117,,,20:55:15.048 -> 1068,,,20:56:13.254 -> 1076,,,20:59:07.767 -> 488,,,21:00:14.234 -> 509,,,21:01:07.314 -> 495,,,21:02:47.662 -> 508,,,21:03:57.912 -> 490
,,,,,,,,20:30:02.936 -> 1337,,,20:35:04.740 -> 1192,,,20:37:01.537 -> 1209,,,20:46:17.768 -> 1127,,,20:55:15.048 -> 1078,,,20:56:13.254 -> 1086,,,20:59:07.800 -> 493,,,21:00:14.234 -> 513,,,21:01:07.314 -> 499,,,21:02:47.706 -> 512,,,21:03:57.912 -> 495
,,,,,,,,20:30:02.936 -> 1348,,,20:35:04.788 -> 1203,,,20:37:01.537 -> 1220,,,20:46:17.768 -> 1138,,,20:55:15.048 -> 1087,,,20:56:13.254 -> 1095,,,20:59:07.800 -> 497,,,21:00:14.283 -> 518,,,21:01:07.314 -> 504,,,21:02:47.706 -> 516,,,21:03:57.961 -> 499
,,,,,,,,20:30:02.984 -> 1358,,,20:35:04.788 -> 1213,,,20:37:01.537 -> 1230,,,20:46:17.816 -> 1148,,,20:55:15.048 -> 1097,,,20:56:13.254 -> 1105,,,20:59:07.800 -> 501,,,21:00:14.283 -> 522,,,21:01:07.314 -> 508,,,21:02:47.706 -> 521,,,21:03:57.961 -> 504
,,,,,,,,20:30:02.984 -> 1369,,,20:35:04.788 -> 1224,,,20:37:01.537 -> 1241,,,20:46:17.816 -> 1159,,,20:55:15.048 -> 1107,,,20:56:13.302 -> 1115,,,20:59:07.844 -> 506,,,21:00:14.283 -> 527,,,21:01:07.359 -> 513,,,21:02:47.706 -> 525,,,21:03:57.961 -> 508
,,,,,,,,20:30:02.984 -> 1379,,,20:35:04.788 -> 1235,,,20:37:01.586 -> 1252,,,20:46:17.816 -> 1169,,,20:55:15.092 -> 1117,,,20:56:13.302 -> 1124,,,20:59:07.844 -> 510,,,21:00:14.283 -> 531,,,21:01:07.359 -> 517,,,21:02:47.706 -> 530,,,21:03:57.961 -> 513
,,,,,,,,20:30:02.984 -> 1390,,,20:35:04.788 -> 1245,,,20:37:01.586 -> 1263,,,20:46:17.816 -> 1180,,,20:55:15.092 -> 1126,,,20:56:13.302 -> 1134,,,20:59:07.844 -> 514,,,21:00:14.283 -> 536,,,21:01:07.359 -> 522,,,21:02:47.754 -> 534,,,21:03:57.961 -> 517
,,,,,,,,20:30:02.984 -> 1401,,,20:35:04.837 -> 1256,,,20:37:01.586 -> 1274,,,20:46:17.816 -> 1190,,,20:55:15.092 -> 1136,,,20:56:13.302 -> 1144,,,20:59:07.844 -> 519,,,21:00:14.327 -> 540,,,21:01:07.359 -> 526,,,21:02:47.754 -> 539,,,21:03:58.009 -> 522
,,,,,,,,20:30:03.032 -> 1411,,,20:35:04.837 -> 1267,,,20:37:01.586 -> 1285,,,20:46:17.864 -> 1201,,,20:55:15.092 -> 1146,,,20:56:13.302 -> 1154,,,20:59:07.896 -> 523,,,21:00:14.327 -> 545,,,21:01:07.407 -> 531,,,21:02:47.754 -> 543,,,21:03:58.009 -> 526
,,,,,,,,20:30:03.032 -> 1422,,,20:35:04.837 -> 1277,,,20:37:01.586 -> 1296,,,20:46:17.864 -> 1211,,,20:55:15.092 -> 1156,,,20:56:13.346 -> 1163,,,20:59:07.896 -> 528,,,21:00:14.327 -> 549,,,21:01:07.407 -> 535,,,21:02:47.754 -> 548,,,21:03:58.009 -> 531
,,,,,,,,20:30:03.032 -> 1433,,,20:35:04.837 -> 1288,,,20:37:01.634 -> 1306,,,20:46:17.864 -> 1222,,,20:55:15.136 -> 1166,,,20:56:13.346 -> 1173,,,20:59:07.896 -> 532,,,21:00:14.327 -> 553,,,21:01:07.407 -> 540,,,21:02:47.803 -> 552,,,21:03:58.009 -> 535
,,,,,,,,20:30:03.032 -> 1443,,,20:35:04.837 -> 1299,,,20:37:01.634 -> 1317,,,20:46:17.864 -> 1232,,,20:55:15.136 -> 1175,,,20:56:13.346 -> 1183,,,20:59:07.896 -> 537,,,21:00:14.327 -> 558,,,21:01:07.407 -> 544,,,21:02:47.803 -> 557,,,21:03:58.009 -> 539
,,,,,,,,20:30:03.032 -> 1454,,,20:35:04.885 -> 1309,,,20:37:01.634 -> 1328,,,20:46:17.864 -> 1243,,,20:55:15.136 -> 1185,,,20:56:13.346 -> 1193,,,20:59:07.896 -> 541,,,21:00:14.375 -> 562,,,21:01:07.407 -> 549,,,21:02:47.803 -> 561,,,21:03:58.053 -> 544
,,,,,,,,20:30:03.081 -> 1464,,,20:35:04.885 -> 1320,,,20:37:01.634 -> 1339,,,20:46:17.908 -> 1253,,,20:55:15.136 -> 1195,,,20:56:13.392 -> 1203,,,20:59:07.941 -> 545,,,21:00:14.375 -> 567,,,21:01:07.451 -> 553,,,21:02:47.803 -> 566,,,21:03:58.053 -> 548
,,,,,,,,20:30:03.081 -> 1475,,,20:35:04.885 -> 1331,,,20:37:01.634 -> 1350,,,20:46:17.908 -> 1264,,,20:55:15.180 -> 1205,,,20:56:13.392 -> 1212,,,20:59:07.941 -> 550,,,21:00:14.375 -> 571,,,21:01:07.451 -> 558,,,21:02:47.803 -> 570,,,21:03:58.053 -> 553
,,,,,,,,20:30:03.081 -> 1487,,,20:35:04.885 -> 1341,,,20:37:01.678 -> 1361,,,20:46:17.908 -> 1274,,,20:55:15.180 -> 1215,,,20:56:13.392 -> 1222,,,20:59:07.941 -> 554,,,21:00:14.375 -> 576,,,21:01:07.451 -> 562,,,21:02:47.847 -> 574,,,21:03:58.053 -> 557
,,,,,,,,20:30:03.081 -> 1499,,,20:35:04.929 -> 1352,,,20:37:01.678 -> 1372,,,20:46:17.908 -> 1285,,,20:55:15.180 -> 1225,,,20:56:13.392 -> 1232,,,20:59:07.941 -> 559,,,21:00:14.419 -> 580,,,21:01:07.451 -> 567,,,21:02:47.847 -> 579,,,21:03:58.101 -> 562
,,,,,,,,20:30:03.081 -> 1510,,,20:35:04.929 -> 1363,,,20:37:01.678 -> 1382,,,20:46:17.908 -> 1295,,,20:55:15.180 -> 1235,,,20:56:13.392 -> 1242,,,20:59:07.941 -> 563,,,21:00:14.419 -> 584,,,21:01:07.451 -> 571,,,21:02:47.847 -> 583,,,21:03:58.101 -> 566
,,,,,,,,20:30:03.125 -> 1521,,,20:35:04.929 -> 1373,,,20:37:01.678 -> 1393,,,20:46:17.952 -> 1306,,,20:55:15.224 -> 1245,,,20:56:13.436 -> 1252,,,20:59:07.990 -> 567,,,21:00:14.419 -> 589,,,21:01:07.500 -> 576,,,21:02:47.847 -> 588,,,21:03:58.101 -> 571
,,,,,,,,20:30:03.125 -> 1531,,,20:35:04.929 -> 1384,,,20:37:01.678 -> 1404,,,20:46:17.952 -> 1316,,,20:55:15.224 -> 1254,,,20:56:13.436 -> 1262,,,20:59:07.990 -> 572,,,21:00:14.419 -> 593,,,21:01:07.500 -> 580,,,21:02:47.847 -> 592,,,21:03:58.101 -> 575
,,,,,,,,20:30:03.125 -> 1543,,,20:35:04.929 -> 1395,,,20:37:01.727 -> 1415,,,20:46:17.952 -> 1327,,,20:55:15.224 -> 1264,,,20:56:13.436 -> 1273,,,20:59:07.990 -> 576,,,21:00:14.419 -> 597,,,21:01:07.500 -> 585,,,21:02:47.896 -> 597,,,21:03:58.101 -> 579
,,,,,,,,20:30:03.125 -> 1553,,,20:35:04.974 -> 1405,,,20:37:01.727 -> 1426,,,20:46:17.952 -> 1337,,,20:55:15.224 -> 1274,,,20:56:13.436 -> 1283,,,20:59:07.990 -> 581,,,21:00:14.463 -> 602,,,21:01:07.500 -> 589,,,21:02:47.896 -> 601,,,21:03:58.150 -> 584
,,,,,,,,20:30:03.169 -> 1564,,,20:35:04.974 -> 1416,,,20:37:01.727 -> 1437,,,20:46:17.996 -> 1348,,,20:55:15.224 -> 1284,,,20:56:13.436 -> 1293,,,20:59:07.990 -> 585,,,21:00:14.463 -> 606,,,21:01:07.500 -> 594,,,21:02:47.896 -> 606,,,21:03:58.150 -> 588
,,,,,,,,20:30:03.169 -> 1576,,,20:35:04.974 -> 1427,,,20:37:01.727 -> 1448,,,20:46:17.996 -> 1358,,,20:55:15.272 -> 1294,,,20:56:13.480 -> 1303,,,20:59:08.038 -> 589,,,21:00:14.463 -> 611,,,21:01:07.548 -> 598,,,21:02:47.896 -> 610,,,21:03:58.150 -> 593
,,,,,,,,20:30:03.169 -> 1586,,,20:35:04.974 -> 1437,,,20:37:01.727 -> 1458,,,20:46:17.996 -> 1369,,,20:55:15.272 -> 1303,,,20:56:13.480 -> 1312,,,20:59:08.038 -> 594,,,21:00:14.463 -> 615,,,21:01:07.548 -> 603,,,21:02:47.896 -> 615,,,21:03:58.150 -> 597
,,,,,,,,20:30:03.169 -> 1597,,,20:35:05.022 -> 1448,,,20:37:01.775 -> 1469,,,20:46:17.996 -> 1379,,,20:55:15.272 -> 1313,,,20:56:13.480 -> 1322,,,20:59:08.038 -> 598,,,21:00:14.507 -> 619,,,21:01:07.548 -> 607,,,21:02:47.929 -> 619,,,21:03:58.150 -> 602
,,,,,,,,20:30:03.169 -> 1608,,,20:35:05.022 -> 1460,,,20:37:01.775 -> 1480,,,20:46:18.040 -> 1390,,,20:55:15.272 -> 1323,,,20:56:13.480 -> 1332,,,20:59:08.038 -> 603,,,21:00:14.507 -> 623,,,21:01:07.548 -> 612,,,21:02:47.929 -> 624,,,21:03:58.194 -> 606
,,,,,,,,20:30:03.216 -> 1618,,,20:35:05.022 -> 1471,,,20:37:01.775 -> 1491,,,20:46:18.040 -> 1400,,,20:55:15.272 -> 1333,,,20:56:13.524 -> 1342,,,20:59:08.038 -> 607,,,21:00:14.507 -> 628,,,21:01:07.596 -> 616,,,21:02:47.929 -> 629,,,21:03:58.194 -> 610
,,,,,,,,20:30:03.216 -> 1629,,,20:35:05.022 -> 1481,,,20:37:01.775 -> 1502,,,20:46:18.040 -> 1411,,,20:55:15.316 -> 1343,,,20:56:13.524 -> 1353,,,20:59:08.082 -> 611,,,21:00:14.507 -> 632,,,21:01:07.596 -> 621,,,21:02:47.973 -> 633,,,21:03:58.194 -> 615
,,,,,,,,20:30:03.216 -> 1640,,,20:35:05.022 -> 1492,,,20:37:01.819 -> 1513,,,20:46:18.040 -> 1421,,,20:55:15.316 -> 1353,,,20:56:13.524 -> 1362,,,20:59:08.082 -> 616,,,21:00:14.507 -> 636,,,21:01:07.596 -> 625,,,21:02:47.973 -> 638,,,21:03:58.194 -> 619
,,,,,,,,20:30:03.216 -> 1650,,,20:35:05.066 -> 1503,,,20:37:01.819 -> 1524,,,20:46:18.040 -> 1432,,,20:55:15.316 -> 1362,,,20:56:13.524 -> 1372,,,20:59:08.082 -> 620,,,21:00:14.540 -> 640,,,21:01:07.596 -> 630,,,21:02:47.973 -> 642,,,21:03:58.242 -> 623
,,,,,,,,20:30:03.216 -> 1661,,,20:35:05.066 -> 1513,,,20:37:01.819 -> 1534,,,20:46:18.084 -> 1442,,,20:55:15.316 -> 1372,,,20:56:13.572 -> 1382,,,20:59:08.082 -> 624,,,21:00:14.540 -> 644,,,21:01:07.596 -> 634,,,21:02:47.973 -> 647,,,21:03:58.242 -> 628
,,,,,,,,20:30:03.265 -> 1671,,,20:35:05.066 -> 1524,,,20:37:01.819 -> 1545,,,20:46:18.084 -> 1453,,,20:55:15.361 -> 1382,,,20:56:13.572 -> 1392,,,20:59:08.130 -> 628,,,21:00:14.540 -> 649,,,21:01:07.644 -> 639,,,21:02:48.017 -> 652,,,21:03:58.242 -> 632
